CACode,VaCode,Estimate,ASE,Flag
C03C,V13M,7.9,0.1,
C03C,V14A,39.7,2.5,
C03C,V14B,34.8,2.3,
C03C,V14C,20.9,2,
C03C,V14D,4.5,1,
C03C,V14M,4.8,0.1,
C03C,V15A,67.9,2.2,
C03C,V15B,27.3,2.1,
C03C,V15C,4.7,1,
C03C,V16A,74.7,2.1,
C03C,V16B,18.9,1.9,
C03C,V16C,6.4,1,
C03C,V17A,2.3,0.6,
C03C,V17B,11.9,1.6,
C03C,V17C,24,1.9,
C03C,V17D,34.9,2.1,
C03C,V17E,27,2.2,
C03C,V18A,94.3,1.1,
C03C,V18B,5.7,1.1,
C03D,V00T,16.9,,B
C03D,V01A,17.8,1.8,
C03D,V01B,18.7,1.8,
C03D,V01C,35,2.4,
C03D,V01D,13.9,1.6,
C03D,V01E,14.6,1.9,
C03D,V01M,7.7,0.1,
C03D,V02A,10.1,1.7,
C03D,V02B,16,1.8,
C03D,V02C,33.7,2.4,
C03D,V02D,18.7,2,
C03D,V02E,21.6,2.2,
C03D,V02M,8.1,0.1,
C03D,V03A,16.4,1.9,
C03D,V03B,23.1,2.4,
C03D,V03C,34.2,2.4,
C03D,V03D,14.1,1.8,
C03D,V03E,12.1,1.6,
C03D,V03M,7.7,0.1,
C03D,V04A,7.9,1.4,
C03D,V04B,24.3,1.9,
C03D,V04C,43.3,2.4,
C03D,V04D,24.5,2,
C03D,V05A,17.1,1.9,
C03D,V05B,38.8,2.6,
C03D,V05C,28.4,2.2,
C03D,V05D,15.7,1.8,
C03D,V06A,2.4,0.7,
C03D,V06B,3.8,1,
C03D,V06C,14.1,1.5,
C03D,V06D,43.1,2.5,
C03D,V06E,36.7,2.7,
C03D,V06M,7.7,0.1,
C03D,V07A,60.8,2.3,
C03D,V07B,11.9,1.4,
C03D,V07C,13.9,1.6,
C03D,V07D,10.1,1.5,
C03D,V07E,3.2,0.7,
C03D,V07M,2.5,0.1,
C03D,V08A,18.1,1.9,
C03D,V09A,61.8,2.5,
C03D,V09B,20.7,2,
C03D,V09C,13.9,1.7,
C03D,V09D,3.5,0.7,
C03D,V10A,6.8,1.1,
C03D,V10B,26.4,2,
C03D,V10C,55.9,2.2,
C03D,V10D,11,1.5,
C03D,V10M,6.8,0.1,
C03D,V11A,10.2,1.6,
C03D,V11B,22.1,1.8,
C03D,V11C,47.4,2.6,
C03D,V11D,20.3,2.3,
C03D,V11M,7,0.1,
C03D,V12A,20.2,2,
C03D,V12B,31.9,2.3,
C03D,V12C,35.3,2.2,
C03D,V12D,12.6,2,
C03D,V12M,6.1,0.1,
C03D,V13A,5.4,1.2,
C03D,V13B,11,1.5,
C03D,V13C,41.1,2.6,
C03D,V13D,42.6,2.7,
C03D,V13M,7.9,0.1,
C03D,V14A,40.9,2.9,
C03D,V14B,35.8,2.4,
C03D,V14C,19.3,2.1,
C03D,V14D,4,1,
C03D,V14M,4.7,0.1,
C03D,V15A,70.8,2.1,
C03D,V15B,24.8,2,
C03D,V15C,4.4,0.9,
C03D,V16A,77.8,2,
C03D,V16B,16.5,1.8,
C03D,V16C,5.7,1.1,
C03D,V17A,2.3,0.6,
C03D,V17B,10.5,1.4,
C03D,V17C,23.8,2.1,
C03D,V17D,33.8,2.5,
C03D,V17E,29.5,2.6,
C03D,V18A,94.8,0.8,
C03D,V18B,5.2,0.8,
C03E,V00T,15.8,,B
C03E,V01A,17,1.7,
C03E,V01B,16.6,1.7,
C03E,V01C,34.3,2.5,
C03E,V01D,17,1.9,
C03E,V01E,15.1,1.8,
C03E,V01M,7.8,0.1,
C03E,V02A,11,1.4,
C03E,V02B,14.6,1.8,
C03E,V02C,32.3,2.5,
C03E,V02D,19.9,2.1,
C03E,V02E,22.2,1.9,
C03E,V02M,8.1,0.1,
C03E,V03A,18.5,1.7,
C03E,V03B,22.9,1.9,
C03E,V03C,32.9,2.3,
C03E,V03D,14.8,1.8,
C03E,V03E,10.9,1.5,
C03E,V03M,7.6,0.1,
C03E,V04A,7.1,1.1,
C03E,V04B,20,2,
C03E,V04C,46.5,2.2,
C03E,V04D,26.4,2.3,
C03E,V05A,17.1,1.8,
C03E,V05B,39,2.4,
C03E,V05C,28.9,2.2,
C03E,V05D,15.1,1.8,
C03E,V06A,2.7,0.8,*
C03E,V06B,4.3,1,
C03E,V06C,11.9,1.5,
C03E,V06D,41.2,2.1,
C03E,V06E,39.9,2,
C03E,V06M,7.8,0.1,
C03E,V07A,63.4,2.7,
C03E,V07B,13.1,1.8,
C03E,V07C,12.8,1.7,
C03E,V07D,7.9,1.4,
C03E,V07E,2.7,0.8,
C03E,V07M,2.3,0.1,
C03E,V08A,18.9,1.7,
C03E,V09A,63.1,2.4,
C03E,V09B,21.2,2.2,
C03E,V09C,12.7,1.3,
C03E,V09D,3,0.8,
C03E,V10A,7.4,1.4,
C03E,V10B,25.6,2.3,
C03E,V10C,56,2.7,
C03E,V10D,11,1.7,
C03E,V10M,6.8,0.1,
C03E,V11A,11.1,1.5,
